brands,bucketed_dwell_times,category_tags,city,date_range_end,date_range_start,device_type,distance_from_home,enclosed,geometry_type,includes_parking_lot,is_synthetic,iso_country_code,latitude,location_name,longitude,median_dwell,naics_code,normalized_visits_by_region_naics_visitors,normalized_visits_by_region_naics_visits,normalized_visits_by_state_scaling,normalized_visits_by_total_visitors,normalized_visits_by_total_visits,open_hours,parent_placekey,phone_number,placekey,poi_cbg,polygon_class,polygon_wkt,popularity_by_day,popularity_by_hour,postal_code,raw_visit_counts,raw_visitor_counts,region,related_same_day_brand,related_same_month_brand,safegraph_brand_ids,store_id,street_address,sub_category,top_category,visitor_country_of_origin,visitor_daytime_cbgs,visitor_home_aggregation,visitor_home_cbgs,visits_by_day,websites,wkt_area_sq_meters
KFC,"""{ \""<5\"":4, \""5-20\"":0, \""21-60\"":1, \""61-240\"":0, \"">240\"":0}""","Breakfast,Catering,Counter Service,Dinner,Drive Through,Fast Food,Fried Chicken,Lunch",Bullhead City,2022-06-01 00:00:00,2022-05-01 00:00:00,"""{\""android\"":4,\""ios\"":4}""",2150.0,false,POLYGON,false,false,US,35.101456,KFC,-114.594567,5.0,722513.0,5.7293654802766955e-05,3.0376434037277157e-05,79.0,1.6030535589382968e-05,5.186129387867279e-07,"""{ \""Mon\"": [[\""10:30\"", \""22:00\""]], \""Tue\"": [[\""10:30\"", \""22:00\""]], \""Wed\"": [[\""10:30\"", \""22:00\""]], \""Thu\"": [[\""10:30\"", \""22:00\""]], \""Fri\"": [[\""10:30\"", \""22:00\""]], \""Sat\"": [[\""10:30\"", \""22:00\""]], \""Sun\"": [[\""10:30\"", \""22:00\""]] }""",None,19287632111.0,zzw-223@5z9-brd-zj9,40159515011.0,SHARED_POLYGON,"POLYGON ((-114.59467120260103 35.10142479739896, -114.59451242437011 35.1015835756299, -114.59441510199997 35.10148395300007, -114.59454404699994 35.10140174000003, -114.59459348499996 35.101406446000055, -114.59460125099997 35.10135319300008, -114.59467120260103 35.10142479739896))","""{\""Monday\"":1,\""Tuesday\"":0,\""Wednesday\"":2,\""Thursday\"":1,\""Friday\"":0,\""Saturday\"":0,\""Sunday\"":1}""","""[0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,1,0,0,0,0,0,0,0]""",86442,5.0,5.0,AZ,"""{\""Sears Home Services\"":5,\""Chevron\"":2,\""Health Mart\"":1,\""CosmoProf\"":1,\""Fastrip\"":1,\""Panda Express\"":1,\""Circle K\"":1,\""CVS\"":1,\""AutoZone\"":1,\""Allied Cash Advance\"":1}""","""{\""Sears Home Services\"":5,\""Chevron\"":5,\""Western Union\"":4,\""Best Western\"":4,\""Circle K\"":4,\""McDonald's\"":3,\""Texaco\"":3,\""Maverik\"":3,\""CVS\"":3,\""Health Street\"":3,\""CVS Pharmacy\"":3,\""Walmart\"":3,\""Terrible Herbst\"":3,\""Sonic\"":3,\""Jack in the Box\"":3,\""Subway\"":3,\""Sinclair Oil\"":2,\""Smith's Food & Drug Stores\"":2,\""Optimum\"":2}""",SG_BRAND_75e52dcc790fbad91ae83227c0fb6e2f,None,2350 Miracle Mile,Limited-Service Restaurants,Restaurants and Other Eating Places,"""{\""US\"":5}""",None,"""{\""04015951502\"":4}""","""{\""040159515022\"":4}""","""[1,0,0,2,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]""",kfc.com,250.0
Rally's Drive-In Restaurants,"""{ \""<5\"":8, \""5-20\"":0, \""21-60\"":0, \""61-240\"":0, \"">240\"":0}""","Burgers,Dinner,Drive Through,Fast Food,Lunch",Phoenix,2022-02-01 00:00:00,2022-01-01 00:00:00,"""{\""android\"":7}""",8809.0,false,POLYGON,false,false,US,33.639629,Rally's Drive-In Restaurants,-112.081824,1.0,722513.0,0.00012186992145902671,6.677244989636667e-05,154.0,3.0523825870965344e-05,1.3083639658043049e-06,"""{ \""Mon\"": [[\""10:00\"", \""24:00\""]], \""Tue\"": [[\""10:00\"", \""24:00\""]], \""Wed\"": [[\""10:00\"", \""24:00\""]], \""Thu\"": [[\""10:00\"", \""24:00\""]], \""Fri\"": [[\""10:00\"", \""24:00\""]], \""Sat\"": [[\""0:00\"", \""1:00\""], [\""10:00\"", \""24:00\""]], \""Sun\"": [[\""0:00\"", \""1:00\""], [\""10:00\"", \""24:00\""]] }""",None,16029422930.0,224-223@5zb-wx4-87q,40131036042.0,OWNED_POLYGON,"POLYGON ((-112.08176939999998 33.63974179400003, -112.08175608699997 33.63952050100005, -112.08187806199999 33.639515510000024, -112.08189137599999 33.63973680400005, -112.08176939999998 33.63974179400003))","""{\""Monday\"":2,\""Tuesday\"":2,\""Wednesday\"":0,\""Thursday\"":1,\""Friday\"":1,\""Saturday\"":0,\""Sunday\"":2}""","""[0,0,0,0,0,0,0,0,1,1,0,0,2,0,1,0,0,1,0,0,0,1,1,0]""",85023,8.0,8.0,AZ,"""{\""Circle K\"":4,\""Western Union\"":2,\""The Home Depot\"":2,\""McDonald's\"":2,\""The Home Depot Rental\"":2,\""Costco Optical\"":1,\""Walmart\"":1,\""Burger King\"":1,\""Walmart Photo Center\"":1,\""Discount Tire\"":1,\""Shell Oil\"":1,\""QuikTrip\"":1,\""AT&T\"":1,\""Chase\"":1,\""Walmart Vision Center\"":1,\""Walmart Auto Care Center\"":1,\""Sinclair Oil\"":1,\""AMC Entertainment\"":1,\""Dollar Tree\"":1}""","""{\""Western Union\"":8,\""Walmart\"":6,\""Circle K\"":6,\""Walmart Vision Center\"":6,\""Walmart Pharmacy\"":6,\""Walgreens\"":5,\""Fry's Food & Drug Stores\"":5,\""Shell Oil\"":5,\""Walmart Photo Center\"":5,\""Kroger Pharmacy\"":5,\""Starbucks\"":5,\""Walgreens Pharmacy\"":5,\""Jackson Hewitt Tax Service\"":4,\""Pizza Hut\"":4,\""Keyme Kiosk\"":4,\""Target\"":3,\""CVS\"":3,\""McDonald's\"":3,\""Safeway\"":3}""",SG_BRAND_c9d830782ede12dd874be6339b79c17a,None,617 W Bell Rd,Limited-Service Restaurants,Restaurants and Other Eating Places,"""{\""US\"":8}""",None,"""{\""04013104203\"":4}""","""{\""040131042033\"":4}""","""[0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,1,1,0,0,0,0,1,0]""",rallys.com,278.0
MrBeast Burger,"""{ \""<5\"":15, \""5-20\"":2, \""21-60\"":0, \""61-240\"":3, \"">240\"":11}""","Beverages,Burgers,Chicken,Meats,Snacks",Beaverton,2022-06-01 00:00:00,2022-05-01 00:00:00,"""{\""android\"":7,\""ios\"":7}""",6839.0,false,POLYGON,false,false,US,45.489738,MrBeast Burger,-122.799173,492.0,722513.0,0.000987312710518773,0.0005490454093754785,476.0,0.00020393835352341722,9.273827420641676e-06,None,zzw-222@5xc-kgx-z9f,None,22g-222@5xc-kgx-z9f,410670313001.0,SHARED_POLYGON,"POLYGON ((-122.79911868789169 45.4897986820005, -122.79908943706897 45.489690778965574, -122.7993170582101 45.48962947354718, -122.79937010710589 45.489730474102096, -122.79911868789169 45.4897986820005))","""{\""Monday\"":7,\""Tuesday\"":4,\""Wednesday\"":3,\""Thursday\"":1,\""Friday\"":7,\""Saturday\"":4,\""Sunday\"":5}""","""[0,0,0,1,2,1,1,8,5,5,2,3,10,6,4,2,6,6,10,6,5,0,0,1]""",97005,31.0,14.0,OR,"""{\""9Round\"":8,\""Wingstop\"":7,\""Geico\"":5,\""Western Union\"":4,\""Safeway\"":2,\""New Seasons Market\"":2,\""Shell Oil\"":2,\""Salt & Straw\"":2,\""Starbucks\"":2,\""Kroger Pharmacy\"":1,\""Red Robin Gourmet Burgers\"":1,\""Biscuits Cafe\"":1,\""Boost Mobile\"":1,\""Papa Murphy's\"":1,\""Shake Shack\"":1,\""Taco Bell\"":1,\""Black Rock Coffee\"":1,\""Hertz\"":1,\""7-Eleven\"":1}""","""{\""Starbucks\"":13,\""Wingstop\"":12,\""Western Union\"":11,\""Safeway\"":10,\""Salt & Straw\"":10,\""Shell Oil\"":9,\""CVS\"":9,\""9Round\"":9,\""Lucky Brand\"":8,\""Fred Meyer\"":8,\""Tumi\"":8,\""CVS Pharmacy\"":8,\""L'Occitane\"":7,\""LensCrafters\"":7,\""See's Candies\"":7,\""Na Hoku\"":7,\""85 Degrees C Bakery Cafe\"":7,\""Indochino\"":7,\""Bergman luggage\"":7}""",SG_BRAND_41328986df090c9e,180528.0,4105 SW 117th Ave Ste F,Limited-Service Restaurants,Restaurants and Other Eating Places,"""{\""US\"":14}""",None,None,None,"""[1,2,1,0,0,3,2,1,2,0,2,1,1,1,2,0,2,0,0,2,1,1,2,1,1,0,1,0,0,1,0]""",mrbeastburger.com,240.0
Papa John's,"""{ \""<5\"":22, \""5-20\"":3, \""21-60\"":0, \""61-240\"":1, \"">240\"":0}""","Counter Service,Dinner,Late Night,Lunch,Pizza,Take Out and Delivery Only",Winnipeg,2022-06-01 00:00:00,2022-05-01 00:00:00,"""{\""ios\"":8,\""android\"":7}""",6637.0,false,POLYGON,false,false,CA,49.938554,Papa John's,-97.094198,9.0,722513.0,0.006816574124797373,0.003998972422849865,2022.0,0.0024162144967965265,0.0002277097140216134,"""{ \""Mon\"": [[\""11:00\"", \""23:00\""]], \""Tue\"": [[\""11:00\"", \""23:00\""]], \""Wed\"": [[\""11:00\"", \""23:00\""]], \""Thu\"": [[\""11:00\"", \""23:00\""]], \""Fri\"": [[\""11:00\"", \""24:00\""]], \""Sat\"": [[\""0:00\"", \""1:00\""], [\""11:00\"", \""24:00\""]], \""Sun\"": [[\""0:00\"", \""1:00\""], [\""11:00\"", \""23:00\""]] }""",None,14313173377.0,222-222@5rf-zpx-jvz,None,SHARED_POLYGON,"POLYGON ((-97.09404288326962 49.93862642399294, -97.09409992760686 49.93842723638917, -97.094569 49.938561, -97.094444 49.938742, -97.09404288326962 49.93862642399294))","""{\""Monday\"":6,\""Tuesday\"":2,\""Wednesday\"":6,\""Thursday\"":5,\""Friday\"":4,\""Saturday\"":2,\""Sunday\"":1}""","""[0,0,0,0,0,0,0,0,2,2,1,4,3,0,1,1,3,2,4,0,1,1,0,1]""",R2G 1L1,26.0,15.0,MB,"""{\""Sylvan Learning\"":5,\""Shoppers Drug Mart\"":4,\""Bell\"":4,\""Mary Browns Chicken and Taters\"":2,\""Tim Hortons\"":2,\""Sobeys Pharmacy\"":2,\""Western Union\"":2,\""Freshii\"":2,\""Shell Oil\"":2,\""Tbooth Wireless\"":2,\""7-Eleven\"":2,\""Starbucks\"":2,\""Manitoba Liquor Mart & Liquor Mart Express\"":2,\""Impark\"":2,\""SoftMoc\"":1,\""Pearle Vision\"":1,\""Carter's\"":1,\""Think Kitchen\"":1,\""H&R Block\"":1}""","""{\""Subway\"":15,\""Tbooth Wireless\"":14,\""McDonald's\"":13,\""Manitoba Liquor Mart & Liquor Mart Express\"":13,\""Western Union\"":12,\""A&W (Canada)\"":12,\""Impark\"":11,\""Bell\"":11,\""Sylvan Learning\"":11,\""Tim Hortons\"":11,\""Second Cup\"":10,\""Shoppers Drug Mart\"":10,\""7-Eleven\"":10,\""Petro-Canada\"":10,\""Telus Communications\"":10,\""chatr Mobile\"":10,\""Dollarama\"":9,\""Rogers Communications\"":9,\""Walmart Vision Center\"":9}""",SG_BRAND_2bc3b742e1d5eb8993fb301179f1700b,37038246.0,1122 Henderson Hwy,Limited-Service Restaurants,Restaurants and Other Eating Places,"""{\""CA\"":15}""",None,None,None,"""[0,2,0,1,1,0,0,0,1,1,1,1,2,1,0,1,0,3,1,0,0,0,1,0,1,2,2,1,1,1,1]""",papajohns.com,751.0
Pizza Hut,"""{ \""<5\"":29, \""5-20\"":1, \""21-60\"":1, \""61-240\"":3, \"">240\"":0}""","Catering,Counter Service,Dinner,Lunch,Pizza,Take Out and Delivery Only",Columbus,2022-02-01 00:00:00,2022-01-01 00:00:00,"""{\""ios\"":16,\""android\"":6}""",4569.0,false,POLYGON,false,false,US,39.982396,Pizza Hut,-82.809921,7.0,722513.0,0.00041028934869441307,0.00028233314599255594,658.0,6.836111096564801e-05,4.316950492164512e-06,"""{ \""Mon\"": [[\""11:00\"", \""22:00\""]], \""Tue\"": [[\""11:00\"", \""22:00\""]], \""Wed\"": [[\""11:00\"", \""22:00\""]], \""Thu\"": [[\""11:00\"", \""22:00\""]], \""Fri\"": [[\""11:00\"", \""23:00\""]], \""Sat\"": [[\""11:00\"", \""23:00\""]], \""Sun\"": [[\""11:00\"", \""22:00\""]] }""",None,16143280302.0,225-223@63j-x3p-vs5,390490093901.0,OWNED_POLYGON,"POLYGON ((-82.80999228781235 39.98249158370922, -82.80988078759972 39.98250054325812, -82.80984725998704 39.9823001592295, -82.80996278351319 39.98228914443021, -82.80999228781235 39.98249158370922))","""{\""Monday\"":6,\""Tuesday\"":5,\""Wednesday\"":3,\""Thursday\"":3,\""Friday\"":7,\""Saturday\"":7,\""Sunday\"":3}""","""[1,0,0,0,0,0,0,0,1,1,2,4,2,7,4,1,4,4,3,7,1,2,0,1]""",43004,34.0,22.0,OH,"""{\""Boost Mobile\"":13,\""Allstate Insurance\"":7,\""Speedway\"":4,\""Sunoco\"":3,\""Jersey Mike's\"":3,\""Half Price Books\"":2,\""Meijer\"":2,\""Hertz\"":2,\""Marathon\"":2,\""Torrid\"":2,\""Hand and Stone\"":2,\""Shoe Dept Encore\"":2,\""Meijer Gas Station\"":2,\""Sally Beauty Supply\"":2,\""Sheetz\"":2,\""Western Union\"":1,\""U.S. Bank\"":1,\""Cosi\"":1,\""United States Postal Service (USPS)\"":1}""","""{\""Western Union\"":18,\""Starbucks\"":15,\""Boost Mobile\"":15,\""DHL Express\"":13,\""Speedway\"":12,\""Hertz\"":12,\""Kroger Pharmacy\"":11,\""Kroger\"":11,\""Duchess\"":10,\""Walmart\"":10,\""Shell Oil\"":9,\""Subway\"":9,\""McDonald's\"":9,\""Meijer\"":9,\""Jersey Mike's\"":9,\""Allstate Insurance\"":9,\""BP\"":8,\""Marathon\"":8,\""The Little Clinic\"":8}""",SG_BRAND_1f2a4b730dc533366115ba7f5168b074,15919651.0,7183 E Broad St,Limited-Service Restaurants,Restaurants and Other Eating Places,"""{\""US\"":22}""","""{\""390490073962\"":4}""","""{\""39049007395\"":4,\""39049009390\"":4,\""39089756202\"":4,\""39049007396\"":4}""","""{\""390490093901\"":4,\""390490073951\"":4,\""390490073962\"":4}""","""[2,0,0,0,0,0,2,0,1,1,1,2,3,2,2,2,3,2,1,0,0,1,0,0,2,0,0,3,2,0,2]""",pizzahut.com,219.0
241 Pizza,"""{ \""<5\"":19, \""5-20\"":2, \""21-60\"":2, \""61-240\"":2, \"">240\"":60}""","Chicken Wings,Dinner,Lunch,Pizza,Salad,Snacks,Take Out and Delivery Only",Mississauga,2022-02-01 00:00:00,2022-01-01 00:00:00,"""{\""android\"":21,\""ios\"":4}""",5556.0,false,POLYGON,false,false,CA,43.559273,241 Pizza,-79.586758,1404.0,722513.0,0.004852084336914754,0.002048782309444533,8158.0,0.0013520783929522214,8.079012072887124e-05,"""{ \""Mon\"": [[\""11:00\"", \""22:00\""]], \""Tue\"": [[\""11:00\"", \""22:00\""]], \""Wed\"": [[\""11:00\"", \""22:00\""]], \""Thu\"": [[\""11:00\"", \""22:00\""]], \""Fri\"": [[\""11:00\"", \""23:00\""]], \""Sat\"": [[\""11:00\"", \""23:00\""]], \""Sun\"": [[\""11:00\"", \""22:00\""]] }""",None,None,225-224@665-zjz-t5f,None,SHARED_POLYGON,"POLYGON ((-79.586622 43.559193, -79.586842 43.559303, -79.586697 43.559456, -79.586472 43.559344, -79.586584 43.559226, -79.586485 43.559176, -79.586601 43.559054, -79.586705 43.559106, -79.586622 43.559193))","""{\""Monday\"":14,\""Tuesday\"":13,\""Wednesday\"":7,\""Thursday\"":12,\""Friday\"":11,\""Saturday\"":17,\""Sunday\"":11}""","""[56,48,52,49,51,53,54,54,48,48,45,42,44,46,45,49,50,52,45,46,49,52,51,51]""",L5G 3H2,85.0,24.0,ON,"""{\""Western Union\"":8,\""Canada Post\"":7,\""Pizza Nova\"":5,\""Freedom Mobile\"":4,\""chatr Mobile\"":4,\""Tim Hortons\"":4,\""Presotea\"":3,\""Shoppers Drug Mart\"":3,\""Sherwin-Williams Industrial Wood\"":3,\""Esso\"":3,\""KFC\"":3,\""McDonald's\"":3,\""Sunrise Records\"":3,\""Physiomed\"":3,\""Crepe Delicious\"":3,\""Wireless Wave\"":3,\""Royal Bank\"":3,\""Subway\"":3,\""Bluenotes\"":2}""","""{\""Western Union\"":21,\""Tim Hortons\"":19,\""Canada Post\"":19,\""chatr Mobile\"":17,\""Freedom Mobile\"":17,\""Booster Juice\"":17,\""Subway\"":15,\""L'Occitane\"":15,\""McDonald's\"":15,\""Wireless Wave\"":14,\""Laura\"":14,\""GoodLife Fitness\"":14,\""Melanie Lyne\"":14,\""Jimmy the Greek\"":14,\""Starbucks\"":14,\""Thai Express\"":14,\""Walmart Photo Center\"":14,\""Shoppers Drug Mart\"":13,\""Fido\"":13}""",SG_BRAND_e7308cf5e46b7e4b,212.0,1201 Hurontario St,Limited-Service Restaurants,Restaurants and Other Eating Places,"""{\""CA\"":24}""","""{\""CA:35212285\"":4,\""CA:35210361\"":4,\""CA:35210753\"":4,\""CA:35241004\"":4}""",None,None,"""[2,3,2,2,2,3,2,6,2,4,3,1,3,3,3,2,2,4,2,2,4,4,2,2,4,2,4,2,2,2,4]""",241pizza.com,621.0
Jimmy John's,"""{ \""<5\"":9, \""5-20\"":0, \""21-60\"":0, \""61-240\"":0, \"">240\"":0}""","Catering,Counter Service,Deli,Dinner,Lunch,Sandwich Shop",Scottsburg,2022-02-01 00:00:00,2022-01-01 00:00:00,"""{\""ios\"":5,\""android\"":4}""",2710.0,false,POLYGON,false,false,US,38.685839,Jimmy John's,-85.784586,3.0,722513.0,0.0001522846654308035,0.0001048962246716544,175.0,2.7660304483907413e-05,1.4567517677693459e-06,"""{ \""Mon\"": [[\""10:30\"", \""22:00\""]], \""Tue\"": [[\""10:30\"", \""22:00\""]], \""Wed\"": [[\""10:30\"", \""22:00\""]], \""Thu\"": [], \""Fri\"": [[\""10:30\"", \""22:00\""]], \""Sat\"": [[\""10:30\"", \""22:00\""]], \""Sun\"": [[\""10:30\"", \""22:00\""]] }""",None,18124142137.0,zzy-224@5py-7ss-89z,181439670003.0,SHARED_POLYGON,"POLYGON ((-85.78447926199999 38.68583862200006, -85.78464539999999 38.68583628500005, -85.78464787699994 38.685940360000075, -85.78448173799995 38.68594269700003, -85.78447926199999 38.68583862200006))","""{\""Monday\"":2,\""Tuesday\"":1,\""Wednesday\"":2,\""Thursday\"":0,\""Friday\"":0,\""Saturday\"":3,\""Sunday\"":1}""","""[0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,1,1,1,1,0,0,1,0]""",47170,9.0,9.0,IN,"""{\""Sunoco\"":2,\""Edward Jones\"":1,\""Ricky Rockets Fuel Center\"":1,\""DaVita\"":1,\""Freddy's Frozen Custard\"":1,\""Cook Out\"":1,\""Cracker Barrel\"":1,\""Walmart Photo Center\"":1,\""Taco Bell\"":1,\""Dollar General\"":1,\""Buick\"":1,\""Love's Travel Stops and Country Stores\"":1,\""Western Union\"":1,\""Rush University\"":1,\""Walmart Vision Center\"":1,\""Athletico Physical Therapy\"":1,\""Walmart\"":1,\""Chevrolet\"":1,\""Speedway\"":1}""","""{\""Walmart Auto Care Center\"":9,\""Walmart Pharmacy\"":9,\""Western Union\"":9,\""Walmart Vision Center\"":9,\""Jackson Hewitt Tax Service\"":9,\""Walmart Photo Center\"":9,\""Walmart\"":9,\""Sunoco\"":7,\""Speedway\"":6,\""Marathon\"":6,\""McDonald's\"":5,\""Cracker Barrel\"":5,\""Ace Hardware\"":5,\""Subway\"":5,\""Taco Bell\"":5,\""Circle K\"":5,\""Edward Jones\"":4,\""Shell Oil\"":4,\""CVS\"":4}""",SG_BRAND_a04f493d784143c9b21b2689e32fd0d1,4270.0,1200 W McClain Ave,Limited-Service Restaurants,Restaurants and Other Eating Places,"""{\""US\"":9}""","""{\""181439670003\"":4}""","""{\""18143967000\"":4}""","""{\""181439670003\"":4}""","""[0,0,0,0,1,0,0,1,0,0,1,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0,1]""",jimmyjohns.com,167.0
